text,intent
예 전번 맞는지 확인해 주세요,질문
어플리케이션 납부는 뭐를 깔아야 할까요,질문
저 해외 거주자인데요 회원가입이 가능할까요,질문
그럼 아이들이 마실 음료도 있나요,질문
반갑습니다 어떤 안내가 필요하신가요,질문
네 명지산 입장료는 어떻게 되나요,질문
지금 메모 가능하십니까,질문
네 무엇을 도와드릴까요,질문
네 고객님 말씀하세요 어떤 게 궁금하신가요,질문
본원 외의 지방 사무소 말씀하시는 건가요,질문
제가 직접 확인해볼 수 있는 거에요,질문
그렇게도 도와드리고요 아니시면요,질문
네 장애인 콜택시를 부를 수 있나요,질문
고객님 소속 페이 결제하셨죠,질문
둘은 무슨 차이에요 그리고 알라카르트가 뭐에요,질문
경찰마크가 어떻게 되어있는지 자세하게 말씀 주실 수 있나요,질문
설치된 프로그램들 중에 불필요한 것들이 있는지 점검 부탁드릴게요,질문
네 죄송하지만 그렇게 해주시겠어요,질문
네 휴대폰 통신사 어디 사용하세요,질문
안녕하세요 일상감사 관련 담당자 부탁드립니다,질문
안녕하세요 저기 증평에서 루지 탈만한 곳 없나요,질문
네 티 오프 1시간 전에 클럽 하우스에서 라운딩 준비하면 되나요,질문
네 선생님 죄인 어떤 관련 문의이십니까,질문
예 어느 은행으로 계좌 번호 보내드릴까요,질문
제 전화 번호를 알려드릴 테니까 저한테 전화를 좀 주라 그러세요 그 담당자한테,질문
어르신복지과라는 곳도 있나요,질문
혹시 사립대학교 졸업 증명서도 교육지원청에서 발급이 가능한가요,질문
상품 제조사 고객센터 전번으로 문의 주시겠습니까,질문
그래요 그럼 굳이 사전 납부하지 않아도 되겠네요,질문
현재 회수 물량이 많아서 늦어지는 것 같습니다 시간 양해 바랍니다,질문
그럼 지금 확인되는 강좌는 수강에 문제가 없는건가요,질문
맞습니다 더 궁금하신 내용은 없으세요,질문
이벤트 적립금은 언제인가요,질문
그게 이름이 뭐죠,질문
혹시 냉면을 초등학생 아이도 먹을 수 있나요,질문
과목은 여러 과목을 신청해도 상관없나요,질문
상품 반인데요 연장하려면 어떻게 하나요,질문
네 맞습니다 담당과 번호 좀 알려주세요,질문
네 로그인 자체가 안되십니까,질문
네 지금 메모 가능하실까요,질문
네 시티투어에 어떤 부분 궁금하신가요,질문
거기서 바코드로 사용하면 되나요,질문
명절에도 셔틀이 정상 운영하나요,질문
발급 신청서는 어디서 구하나요,질문
네 더 궁금하신 건 없으실까요,질문
네 무엇을 도와드릴까요,질문
적립금을 사용하려고 하는데요 사용시 조건이 있나요,질문
그럼 제가 별도로 교환 취소 요청은 안 해도 되는 거죠,질문
왜 그렇게 오래 보관되나요,질문
그레이 말고 없나요,질문
상품 구매할 때 소속로 결제 가능하죠,질문
홈페이지에서 어떤 거 확인할 수 있는지요,질문
문의가 해결되셨을까요 추가 문의가 있으시다면 연락주세요,질문
그럼 인터넷 예약해도 50프로 적용 되나요,질문
상세 페이지에 있다고요,질문
신체검사서요 이건 제가 따로 가서 하면 되는건가요,질문
해당 제도를 적용받기 위해서 어떤 요건이 필요합니까,질문
다른 문의 사항 있으신가요,질문
계속 그 번호로 사용해도 된다고요,질문
예 뭐 좀 물어볼게요,질문
체험 비용은 어떻게 되나요,질문
등록면허세에 대해 궁금합니다,질문
네 여쭤보시고 싶은게 있으신가요,질문
한번 전화 번호 불러줘 보세요 그러면은,질문
일부를 미표기 해서 발표하신다는 건가요,질문
지금 계신 곳이 어느 지역이십니까,질문
어떻게 방법이 없나요,질문
네 어떤 일이신가요,질문
여기 소속 배치 고사 어떻게 신청하나요,질문
몰랐어요 관리자는 어떤 분이에요,질문
잠시만요 지금 적을게요 다시 한번만 불러주세요,질문
네 고객님 더 궁금하신 점이 있으신가요,질문
당연하죠 고객님 아이들이 어린편이라면 허브아일랜드 어떠신가요,질문
다른 문의 사항 있으세요,질문
감사합니다 허가의 기준이 어떻게 되나요,질문
다른 문의 사항은 없으십니까,질문
무엇을 도와 드릴까요,질문
안녕하세요 스카이플라이 운영 시간이 어떻게 되나요,질문
아뇨 기타 배송이요 결제 완료는 어떤 상태죠,질문
수강 증빙 서류를 받을 수 있을까요,질문
네 고민되는 부분 있으시면 말씀해주세요,질문
선생님 주소 말씀 부탁드립니다,질문
네 불편드려 죄송합니다 혹시 노트북 제품 맞으시죠,질문
그래요 그럼 수수료는 안 나가나요,질문
나의 강의실 가셔서 수강중인 과정에서 학습하기 눌러보시겠어요,질문
안녕하세요 안전 점검 관련은 시청 소속 아닌가요,질문
성함 한번 알려주시겠습니까,질문
네 고객님 그럼 수강 취소 도와드리면 될까요,질문
왜 그런지 알 수 있을까요,질문
그러면 오늘 중으로 다시 연락 주세요,질문
안녕하세요 바다가 보이는 카페 추천 가능하신가요,질문
순천드라마 촬영장을 방문할 건데요 체험할 것 추천 부탁 드립니다,질문
나는 그럼 택배기사님한테 전달만하면 되는 거죠,질문
네 일단 원하시는 강의 장바구니에 담으신 상태신가요,질문
관련부서 전화번호 알려드리면 될까요,질문
고객님 혹시 재부팅 해보셨습니까,질문
맞아요 거기 몇 시까지 관람이 가능할까요,질문
그렇군요 몇 시까지 영업 하시죠,질문
네 그럼 제가 말씀 드린 거 한번 해보시겠습니까,질문
네 고객님 예약일과 시간은 언제인가요,질문
네 어떤 문의이실까요 고객님,질문
사망신고의 방법과 서류 안내해주세요,질문
좀 늦게 도착이라 독채니까 늦게까지 놀아도 되는거죠,질문
체육 시설 적권 폐업 효력 일자 문의 좀 할게요,질문
네 고객님 수정이 안되는 상황이신거죠,질문
네 어떤 문의이실까요,질문
내일 오후 2시로 예약했는데 혹시 취소해도 되나요,질문
아니 무슨 물건 발송하는데 그리 오래 걸려요 답답하네,질문
아니 우리는 애들 자체가 없는데 내가 왜 소형을 시켜요,질문
네 가능합니다 어떤 은행으로 결재하실 건가요,질문
하나만 더 스모그는 안개 스모그는 연기인 거죠 스모그요,질문
저 묶음으로 배송했는데 왜 배송비가 청구되나요,질문
그러십니까 그럼 제가 지도 확인 후 안내해드리겠습니다 잠시만 기다려주시겠습니까,질문
네 더 궁금하신 점 있으실까요,질문
그럼 거기서 변경할 카드를 등록하면 되는 거예요,질문
혹시 다른 건의사항 있으신가요,질문
그렇군요 그럼 혹시 어떻게 선정되나요,질문
거기 의자 좀 교체해주실 수 있나요,질문
저 서울 근교로 주말에 아이 데리고 갈만한 곳 추천 부탁드립니다,질문
혹시 거기 세탁기 청소나 부속품 문의 같은 건 거기서 안 하죠,질문
지금 정수기가 있거든요 이거 어떡해야 될 지 해서요,질문
그러면 제가 지금 밖이라서 문자로 보내주실 수 있을까요,질문
서바이벌 사격이요 그것도 할게요 얼만가요,질문
소속회사는 믿고 주문할 수 있는 곳 인가요,질문
학교폭력이 발생한 경우에 사안처리 절차가 어떻게 되나요,질문
더 궁금하신 점은 없으십니까,질문
네 선생님 말씀 주세요 어떤 문의십니까,질문
주변에 괜찮은 시설들이 있나요,질문
네 마이페이지요 어디 있죠,질문
그거 말고 더 챙겨야 할 서류는 없나요,질문
아 그런가요 동승은 금액 어떻게 받으시나요,질문
어떤 도움이 필요하십니까,질문
회원가입을 해야지 고객 등급 혜택을 받을 수 있나요,질문
구성이 어떻게 되죠,질문
대행자 등록증 사본으로도 가능해요,질문
네 그 다음 절차도 있나요,질문
네 어떤 종류가 있을까요,질문
기타 가을에는 어떤 체험이 가능 한가요,질문
네 그러면 어떻게 해야 돼요,질문
그러면 예방법은 뭐가 있을까요,질문
그럼 탁구대가 있는 곳은 어디가 있어요,질문
네 무엇을 도와드릴까요,질문
네 전번 번으로 연락하시길 바랍니다,질문
회원님 무엇을 도와드릴까요,질문
구매한 상품의 배송조회는 어떻게 하죠,질문
몇 번으로 전화해야 돼요,질문
어떤 문의가 있으시죠,질문
두시 이후로는 저희 두시 십분 괜찮으신가요,질문
그럼 두 번 나눠서 이백만원 쓰고 백만원 또 쓰면 안 되나요,질문
차량 상태와 유류 상태를 꼼꼼히 확인을 하시고요,질문
알았어요 기다리고 있을게요,질문
수고 많으십니다 제가 질문사항이 있어서 전화드렸어요,질문
고객님 컴퓨터 지금 부팅 되어있죠,질문
두 번 출금된 것으로 나와 있단 말씀이지요,질문
네 학습자님 무엇을 도와드릴까요,질문
달빛기행이라는 관람이 있던데 어떤건가요,질문
선불 반품 프로그램이 뭔가요,질문
운행시간은 얼마나 걸리죠,질문
거기 버스터미널에서 가기가 쉬운 편인가요,질문
저희 소속 상품권을 구매해 주시는 건가요 고객님,질문
네 그럼 팩스번호 좀 알려주시겠어요,질문
고객님 금융맞으신가요,질문
네 추가로 궁금하신 사항 있으시면 소속에 연락주세요,질문
개정 이유에 관한 질문 맞으실까요,질문
이천이십일 년도에 진행하는 연구가 어떤 것들이 있는지 궁금합니다,질문
몇 회정도 펌핑해서 사용을 권장하나요,질문
아 그런가요 동영상이나 사진도 찍어 주죠,질문
원래 안심클릭 서비스 이용하는데에도 공인인증서가 필요한가요,질문
저기 충북 음성에서 기타을 할 수 있는 곳이 있나요,질문
개명 이름 등록 처리 완료 후에 개인정보 수정란에서 개명 신청 클릭해 수정하시면 됩니다,질문
심의면 어떤 심의인가요,질문
카드대금의 취소는 언제 이뤄지나요,질문
며칠씩 걸릴 수도 있나요 빨리 답변보고 이해해야 다음 진도를 넘어가죠,질문
상담을 받아 보시는 건 어떠시겠습니까,질문
고객센터에 연락하면 등록이 되나요,질문
좀 자세히 정보 보고싶은데 어디서 확인 하나요,질문
네 고객님 여쭤보시고 싶은게 있으신가요,질문
제가 초단시간 근로자인데요 고용보험 가입 가능한가요,질문
네 선생님 말씀 주세요,질문
어떤 문의 사항이 있으신가요,질문
이해가 안되서 설명 좀 부탁할게요,질문
상품 불량으로 반품하시는 건가요,질문
네 결제 후 주문 취소하셨습니까,질문
혹시 충남 어느 지역으로 여행 예정이십니까,질문
